"NBa7we src","d4r55","eaLgGf","hCCjke","rsqaWe","wiI7pd"
"https://lh3.googleusercontent.com/a-/ALV-UjUM3tcz74rJ0DuYDDGqeapmHdklqGqUrrA6BTCZLUf9O7D5dKDG=w72-h72-p-rp-mo-ba7-br100","Charlie Te","","","6 months ago","A decent place to get some boba milk tea. We had the Earl Grey Milk Tea with 3Js.  There wasn't anything really special or a drink that stood out to me.  The service was friendly and quick as we were the only ones there."
"https://lh3.googleusercontent.com/a-/ALV-UjUWW6M_EEDOeW4SWZlHpideJE4Fh3WmKqrzGzI06Dj31-ePw_dT=w72-h72-p-rp-mo-ba7-br100","Adati Tarfa","","","a year ago","My favorite Gong Cha! The staff are awesome. My drink was made to perfection. It looks like a lot of people love the location. There was also cool illustrations in the store. It was definitely an exciting place to visit and enjoy tea."
"https://lh3.googleusercontent.com/a/ACg8ocLyvaTggr-XactszjhmzsMMrmPGm4ENb5DafYXhk3f5655R=w72-h72-p-rp-mo-br100","Amy Hoang","","","4 weeks ago","We had the pleasure of visiting Harvard Square and happened upon this lovely tea shop. Our teas were refreshing and just what we needed after a long day of site seeing. Service was friendly and tea was made promptly. Highly recommend!!"
"https://lh3.googleusercontent.com/a-/ALV-UjVamGosje4WIQzynN9Zw2oXqQ7495rL5jVNw8EPWy5sUM8xFLu5=w72-h72-p-rp-mo-br100","Michael Tam","","","a month ago","Gong Cha is my favorite brand for authentic milk tea. This shop was clean, nice, and quick to complete my order. We ordered 7 drinks and all were made well. I also love those egg waffles, HK classic. Strongly recommend the Matcha Strawberry latte with some original egg waffles."
"https://lh3.googleusercontent.com/a-/ALV-UjXyi7vbz6Jq89DdJhTJefHpT8e6X3PPGjxbdtXGUNsyT6IPQdXu=w72-h72-p-rp-mo-ba5-br100","Alex C","","","a year ago","There are better Boba spots in the greater Boston area, but if you're near Harvard, this is a good spot to hit. Nice, but smaller, seating area to relax at or take your drink on a lively stroll through the area."
"https://lh3.googleusercontent.com/a-/ALV-UjWDkg67MDzDT5xAOUHL5c5IDq21Mv9JjKJOhCvS8JTwQY_eUYnAFQ=w72-h72-p-rp-mo-ba4-br100","Becka Simon","","","a month ago","Absolute trash. I am allergic to lactose and asked for a drink without milk. However, I was still served a drink with milk. After confirming it was milk in my drink, the person refused to remake the drink unless I bought another one and was …"
"https://lh3.googleusercontent.com/a-/ALV-UjWyKjGlRQ5wUszmhTSeH4RmrCAGAYBFFnzFH505KLtf-koHzZQE=w72-h72-p-rp-mo-ba5-br100","Khoi Nguyen","","","a year ago","Greatest boba shop in the world. Service is kind and instant. Teas have the perfect flavor and sweetness (and even then they’re customizable and consistent so you can find what you like). …"
"https://lh3.googleusercontent.com/a/ACg8ocLXhGhO20Zl41ES1X-P7mZxIu65OXOaQGIxAvOUYJSfCGKB3g=w72-h72-p-rp-mo-br100","Alan Wong","","","2 months ago","Great spot for Milk Tea. My favorite is earl grey with the 3 J's. The owner Barry is super cool guy to talk to and welcoming."
"https://lh3.googleusercontent.com/a/ACg8ocJIbVeJw1Ciqf_9co_QFvQOjLbnN6oLrbJ8uyIf1dvb6UTQlyY=w72-h72-p-rp-mo-br100","Andrew Ou","","","9 months ago","Lovely service. Amazing selection and store is  very clean. Tried the Dirty Brown Sugar Milk Tea and it tastes almost heaven-like."
"https://lh3.googleusercontent.com/a/ACg8ocIF_5otpXFtPHwraKI8LsoYnayKzC8NUygMbsR6C-xNYVct9Q=w72-h72-p-rp-mo-br100","Yi Li","","","8 months ago","We ordered two bubble teas in the evening of Aug. 8 2023, a medium Taro and a large Pearl Milk Tea. The pearls in the Pearl Milk Tea had a texture of soggy bread and were not chewy at all. They were obviously too old, cooked too long time …"
