"NBa7we src","d4r55","eaLgGf","hCCjke","rsqaWe","wiI7pd","nM6d2c","DZSIDd","wiI7pd 2"
"https://lh3.googleusercontent.com/a/ACg8ocK57nehK9xOiM4R9AKldzm6K8DTG17J58uHyu5aWT3Cj4lajw=w72-h72-p-rp-mo-ba4-br100","K O","","","a month ago","I genuinely do not understand why there is this much dissatisfaction with this place. I dropped by on a Sunday evening, placed an order at one of the kiosks, and my drink was ready in less than 5 mins. The two ladies working behind the …","Response from the owner","a month ago","Thanks for taking the time to leave our team your honest feedback. We are so grateful you stopped by and had an awesome experience. From the drinks to the service and the ambience, we hope everything exceeded your expectations! Our goal is to ensure you experience nothing, but the best!"
"https://lh3.googleusercontent.com/a-/ALV-UjXdclLp9CNbEKRJcYkizGJquzkGzzr3DFykstW5tDC7LmuqNeu3Cw=w72-h72-p-rp-mo-ba3-br100","Ashish Malik","","","3 months ago","The service at this place ruined the food experience. It was my first time at a Tiger Suger Place and we were placing the order on the kiosk. There was a young adult behind the counter who was giving us suggestions and knew our order. Later …","Response from the owner","3 months ago","Thank you for letting us know about this. I’m going to talk to our team and fix this. Please know that this is not normally how we do business. We want all customers to feel welcome and appreciated, and we’re sorry that this didn’t happen for you."
"https://lh3.googleusercontent.com/a-/ALV-UjUHko-Qax5C8iK5kg5HvypFJ1hrgwvweFBGQG3Ec2I9coxcuolI=w72-h72-p-rp-mo-ba5-br100","RC","","","5 months ago","Great place to get your boba fix, not a lot of inside seating, but if you happen to get one, it’s a good place to watch people. Lots of drink variants, I really like that they have non-dairy milk options.","Response from the owner","4 months ago","Thank you so much for your review about Tiger Sugar. We really appreciate you being a customer and helping to share the word about us. We're here for you anytime. Again, we are so grateful!"
"https://lh3.googleusercontent.com/a/ACg8ocL3LUKwmJDlX3rG7t9iQNWxUaT8xiNVraST8uMMZB7qxU3pkI_j=w72-h72-p-rp-mo-ba5-br100","Lydia Chew","","","a year ago","Much preferred over some of the other boba chains in the area.

I ordered one of their signature drinks, which is listed as ""black sugar boba + …","Response from the owner","a year ago","Thank you so much for your review about Tiger Sugar. We really appreciate you being a customer and helping to share the word about us. We're here for you anytime. Again, we are so grateful!"
"https://lh3.googleusercontent.com/a/ACg8ocIJ5JhuMkjef8fD_JbFsq5XbSp819u9eRkbgED-Ejkh4xDfkw=w72-h72-p-rp-mo-ba4-br100","Anita Chiang","","","a month ago","I made a mobile order, came to the store after receiving ready to pickup, and no one there in the store. The staff just left a note saying will be back in 15 mins. Have waited over 15 mins and no one back🙄 …","","",""
"https://lh3.googleusercontent.com/a/ACg8ocI54xHNheUTOZ6O-1cEKoQr_q_aa-App_TX-bLgCqJfR1cq4Q=w72-h72-p-rp-mo-br100","Andrew Yang","","","3 months ago","Upon placing my order, I specifically requested less ice for the Strawberry Mochi. However, I was disappointed to find that not only did the drink contain a substantial amount of ice, but it was also overly filled with toppings. This …","Response from the owner","3 months ago","Dear Andrew, thanks for sharing your feedback. We're sorry your experience didn't match your expectations. It was an uncommon instance, and we'll do better. Please feel free reach out to us here with any further comments, concerns, or …"
"https://lh3.googleusercontent.com/a-/ALV-UjWT66LIQntJMHznpfmA3G49yhoLHCf3adVbevyG4zNM2G1Cl-E=w72-h72-p-rp-mo-ba4-br100","Yellow Bluebonnet","","","11 months ago","Got their strawberry milk tea. It tasted amazing!! However, I will never be back. The service was slow and awful and the employees were not polite or accommodating. No smiles or interaction beyond taking my order. The food was expensive too. It's too bad though since I lived their milk tea.","Response from the owner","11 months ago","Hello! We're sorry your experience wasn't as expected. We brought this to our team's attention, and hopefully, it'll never happen again. Please email us through our website along with the issue's date, time, and location, and we would love to speak to you about it."
"https://lh3.googleusercontent.com/a/ACg8ocL6Z6zzygaOq9j65M4WXCJidTtcHF6rDJQl8EWX7ukVfQN9sg=w72-h72-p-rp-mo-br100","Andreu Canales","","","5 days ago","I visited him today at 8:17 in the afternoon I asked for four and the boy attended me in a very rude way then I wanted to ask for one more and I said sorry one more and he told me no sorry and he ignored me he left the front I would like to …","Response from the owner","3 days ago","Thank you for letting us know about this. I’m going to talk to our team and fix this. Please know that this is not normally how we do business. We want all customers to feel welcome and appreciated, and we’re sorry that this didn’t happen for you."
"https://lh3.googleusercontent.com/a-/ALV-UjWDkg67MDzDT5xAOUHL5c5IDq21Mv9JjKJOhCvS8JTwQY_eUYnAFQ=w72-h72-p-rp-mo-ba4-br100","Becka Simon","","","a month ago","Best boba in Harvard Square! Would reccomend.

The drinks are very tasty, staff is accommodating to changes, they always provide quick service.","Response from the owner","4 weeks ago","We're so happy you enjoyed our boba! Our team made all drinks with care and. We can't wait to see and serve you again!"
"https://lh3.googleusercontent.com/a-/ALV-UjXlanNN4LE6LdFh7fya4nwrm-hHQtt0P1gw7UHJL7DTbj76CBUb=w72-h72-p-rp-mo-ba4-br100","Danielle G","","","a year ago","Good boba. I was unaware this was a chain and the titles of the drinks aren’t really descriptive so I went with their most popular drink. It was quite good and the service was fast. Very instagram-able appearance. …","Response from the owner","a year ago","We’re glad that you loved Tiger Sugar. We are always trying our best to make your experience memorable, and we’re glad that we’ve achieved it!"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUwu_8hnWcGzgBR0P63-1mBULFSQJuX72Agi-sjv0rV8F520X-J=w72-h72-p-rp-mo-ba4-br100","Hieu Vo","","","4 months ago","Not sure about the 1 star ratings but we had a pleasant experience today. Got offered the promotion B2G1. Good drinks and yes we were able to modify sugar and ice.","Response from the owner","4 months ago","Thanks for your kind & great words. This review made our day! We're so happy to hear you love your order."
"https://lh3.googleusercontent.com/a-/ALV-UjXcr-fSeGbTpWTqtFWupQ3WPlHcWdry_qG4FEqb_4QpoolJuA46=w72-h72-p-rp-mo-ba3-br100","M G","","","7 months ago","All these negative reviews almost kept me from trying. However I noticed that they complain about weird, esoteric things (like unable to control ratios of so and so to so and so or boba being misshapen..?) and miss the big picture: an …","Response from the owner","7 months ago","Thank you so much for taking the time to leave this amazing review with us and the community. We are so grateful for your kind words."
"https://lh3.googleusercontent.com/a/ACg8ocJwBGHOhcfLHS2IouW3UhIC_iGKTB3sqfMlVOaKHlR5wSdasA=w72-h72-p-rp-mo-br100","Ikkin Eseug","","","7 months ago","The selection of milk teas are awesome but what i’m not happy about it is when I asked if I can get just a little bit of ice in my milk tea (i really don’t like much ice, i just want it cold) the cashier refused my request. I have never …","Response from the owner","7 months ago","Hi Ikkin, to ensure the same great taste we use a precise technique with the finest quality ingredients, made with a perfect ratio of sugar, ice, tea and boba. We are sad to hear that you did not enjoy your last visit, but rest assured that …"
"https://lh3.googleusercontent.com/a/ACg8ocJfzkpXeyu9zAbmohtYYmSo107bednC--7mrl6OQFoCoSyzHw=w72-h72-p-rp-mo-br100","Aura Artes","","","7 months ago","I ordered a taro (the purple milk smoothie) and was given a whole wheat tea filled with a lot of pumpkin pieces and ice cubes. When I told them that they had made a mistake when serving the tea, they told me rude “no, that was the original recipe and that’s how we prepared it there.”","Response from the owner","7 months ago","We're sorry your experience didn't match your expectations. It was an uncommon instance, and we'll do better. Please feel free reach out to us here with any further comments, concerns, or suggestions you wish to share. We would love to make things right if you give us another chance!"
"https://lh3.googleusercontent.com/a/ACg8ocIQ32WNaSoLfhEZGoKwzQDjL1S9VCjUZnA_URCJv3rKurpJa8o=w72-h72-p-rp-mo-ba5-br100","Maya Shen","","","11 months ago","Very weird drinking experience, not sure if it’s just this branch or the entire brand’s like this. The bobas are of uneven size, some are so tiny and stringy that they’re slimy than chewy, need better quality control. Otherwise just average boba tea, don’t understand the hype.","Response from the owner","11 months ago","Hello Maya, our boba have really different sizes. Thank for the review."
"https://lh3.googleusercontent.com/a-/ALV-UjXOCSp2OSlUs-6cLkzhoPBiiH9UVs70T0Pa3jSqlFzEALHIbt0=w72-h72-p-rp-mo-ba4-br100","Michelle Dao","","","a year ago","Nice boba shop. Tiger sugar is a chain so the boba is usually consistent across the board. I went when there was just 1 party in front of me so the wait wasn’t too long. …","Response from the owner","a year ago","Hello Mich. Thanks for your kind & great words. This review made our day! We're so happy to hear you love your drink."
"https://lh3.googleusercontent.com/a/ACg8ocLXkGhffIxq7ZlTAhp9mA1ngMW5s091axxbHfZeKQw7OScMOA=w72-h72-p-rp-mo-br100","naotocoral","","","8 months ago","Just ordered bubble tea from there. Worst bubble tea I ever had. The service also sucks. The person working there looked so depressed and took forever. Don’t go there. Save your money. There are plenty of other places you could go to. What a waste of time and money.","Response from the owner","8 months ago","Hello Naotocoral, thanks for sharing your feedback. We're sorry your experience didn't match your expectations. It was an uncommon instance, and we'll do better. Please feel free reach out to us here with any further comments, concerns, or suggestions you wish to share. We would love to make things right if you give us another chance!"
"https://lh3.googleusercontent.com/a/ACg8ocKyiPbEMRspU8dKH_TSwoVpPYknYwJlu1nrYxf3U2T-6AgBKw=w72-h72-p-rp-mo-br100","Avery E","","","a year ago","The drinks are fine, but I've had pretty terrible service here. The first time I went no one came to the counter for about 10 minutes, so I was just standing there. The second time I repeatedly told the staff about an allergy to dairy and …","Response from the owner","a year ago","Dear Avery. we're sorry your experience wasn't as expected. We brought this to our team's attention, and hopefully, it'll never happen again. Please email us through our website along with the issue's date, time, and location, and we would love to speak to you about it."
"https://lh3.googleusercontent.com/a-/ALV-UjVQEueuHgD5MlmUFMJHDah1iArqHziYojktz9sQOp1Q4MmTXH-NOw=w72-h72-p-rp-mo-ba5-br100","Melody Cao","","","a year ago","Boba pearls are super sweet and soft, I love them! The tea itself is okay, maybe the fruit teas and milk teas are better than what I got which was the Black Sugar Green Tea. Nice decor but no sitting space.","Response from the owner","a year ago","Hi Melody. We’d just like to thank you for taking the time to write this review. Every bit of feedback like this does so much to help us out!"
"https://lh3.googleusercontent.com/a-/ALV-UjWd6ptkD8VJVaiTF9FDIsp4MEUnSDXE6evkxXGcxS2GehEG-YTLNw=w72-h72-p-rp-mo-ba3-br100","Daniela Luna Albarrán","","","8 months ago","Bad service, i came to the place and the lady was not friendly. I ordered through the machine. Two guys came after me, then a third. And i was still waiting my drink. The lady just started making my drink because i went to stand in front of …","Response from the owner","8 months ago","Thank you for letting us know about this. I’m going to talk to our team and fix this. Please know that this is not normally how we do business. We want all customers to feel welcome and appreciated, and we’re sorry that this didn’t happen for you."
"https://lh3.googleusercontent.com/a/ACg8ocKmUUgS9iSYqWqKMuCsWB9gu-6dk20s26fQhPMJyRBP9HG89g=w72-h72-p-rp-mo-ba3-br100","Atilio Lavoie","","","a month ago","Great spot for Boba. Love the signature  brown sugar boba.","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJqktv4XjEnLi_Wi8d6YsENEK1XDlc_JOy-MdCI19f_QerpNg=w72-h72-p-rp-mo-br100","Lissette Santiago","","","8 months ago","Boba was so overcooked it was still hot when I sipped my drink. Boba had no texture and was so soft like pudding.","Response from the owner","8 months ago","Dear Lissette, thanks for sharing your feedback. We're sorry your experience didn't match your expectations. It was an uncommon instance, and we'll do better. Please feel free reach out to us here with any further comments, concerns, or suggestions you wish to share. We would love to make things right if you give us another chance!"
"https://lh3.googleusercontent.com/a/ACg8ocIUlQza5ErWmftnUHMNlhqnnC1LvJq275A5-z0SD1u6vMBHug=w72-h72-p-rp-mo-br100","Tim Chen","","","9 months ago","$6 without customising ice, and half cup is fully ice. Seriously?","Response from the owner","9 months ago","Hello Tim, to ensure the same great taste we use a precise technique with the finest quality ingredients, made with a perfect ratio of sugar, ice, tea and boba. We are sad to hear that you did not enjoy your last visit, but rest assured …"
"https://lh3.googleusercontent.com/a-/ALV-UjWKVTo12WJvuAqi5KCCKp-ElCBZs3BD2AaQVvFqhIGq7xUC7Gk=w72-h72-p-rp-mo-br100","Zeprinals","","","9 months ago","Pretty quiet and spacious, the server was depressing and quiet like he broke up. It was sad and not the type of place to stay to drink. So sad but at least the drinks were fine.","Response from the owner","9 months ago","Hello Zeprinals. We're sorry your experience didn't match your expectations. It was an uncommon instance, and we'll do better. Please feel free reach out to us here with any further comments, concerns, or suggestions you wish to share. We would love to make things right if you give us another chance!"
"https://lh3.googleusercontent.com/a/ACg8ocLToxpSvXjnoPeEjWMoPK9T2xn0vtfkCcrn5kK2Ir9uGOVkYQ=w72-h72-p-rp-mo-br100","Nikolay","","","a year ago","Their signature Black Sugar Boba + Pearl Milk with Cream Mousse tea is completely amazing and worth every cent. Ultimately, that's the only thing that matters.","Response from the owner","a year ago","Thank you for taking the time to share your experience with us! We’re over the moon to hear that you’re happy."
"https://lh3.googleusercontent.com/a-/ALV-UjV08h8O0DW0XB2uXB6npPM3n1JHNOwA5bsn378hdSqwIFyWuDMr=w72-h72-p-rp-mo-br100","Sol Amour","","","7 months ago","Absolute best brown sugar Boba in Boston - hands down! We come back again and again.","Response from the owner","7 months ago","We’re very grateful for customers like you and hope you stick with Tiger Sugar for years to come!"
"https://lh3.googleusercontent.com/a-/ALV-UjUJ5AKZp4fSs-9ye6AbiGrs2qfq3X62fthyZzir5q-Wl0WNMoq5=w72-h72-p-rp-mo-br100","Xialing Lee","","","9 months ago","The drinks are good and the staff are nice, one of my favorite bubble tea stores","Response from the owner","8 months ago","Thanks for the awesome review! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. Come back and see us soon. Cheers!"
"https://lh3.googleusercontent.com/a/ACg8ocIX2vfyVYCekotzXVXiLcv6nHDiW6BrWKiJtWEy0qLcxVp5M-w=w72-h72-p-rp-mo-br100","Robyn Wang","","","4 months ago","Needless to say, BEST boba around Cambridge.","Response from the owner","4 months ago","Thank you so much for taking the time to leave this amazing review with us and the community. We are so grateful for your kind words."
"https://lh3.googleusercontent.com/a-/ALV-UjUykYU3jI2cl7oRvbYYhPBmw3kqgyHSLTw9Pxxv5F-v1znd9-hZ=w72-h72-p-rp-mo-br100","Laura Malagon","","","11 months ago","The person attending the place is terrible, she doesn’t offer a good customer experience, she is rude with tourists and she lacks of empathy and attention skills, not coming back ever","Response from the owner","11 months ago","Hi Laura. I’m sorry you had such an unpleasant encounter. We try to make our customers’ buying experience easy and enjoyable, and we hold our stores to a high standard. In this case, we clearly fell short. …"
"https://lh3.googleusercontent.com/a/ACg8ocIyrnv-PpycNKbCTH0K8kiIPZIM6oAp6TZY4wtAqPjcdkq-0Q=w72-h72-p-rp-mo-ba4-br100","Henry Wang","","","3 months ago","Great boba tea","","",""
"https://lh3.googleusercontent.com/a/ACg8ocI3JD2THnw3-ggtWSfpLTvNuOBtxo2x77ZRA6Aw3lGZG3vSwA=w72-h72-p-rp-mo-br100","Ke Wang","","","a year ago","The lychee busting boba black tea is very plain","Response from the owner","a year ago","Dear Wang, Thank you for taking your time and giving us feedback. We are sorry that you didn't enjoy our drinks. For our signature black sugar milks, we take every steps of measurement precisely. …"
"https://lh3.googleusercontent.com/a-/ALV-UjW5-LaShxUxbeNmTpvSF6xgyuoKQWu_d25_h3EoENBOMrQN0w=w72-h72-p-rp-mo-br100","Amelia G","","","11 months ago","delicious but overpriced.","Response from the owner","a year ago","Thank you so much for your review about Tiger Sugar."
"https://lh3.googleusercontent.com/a/ACg8ocLmPvuStrwk1MclPYYtM_6zk_xXhgZhK59HBnVSG9vOW044sQ=w72-h72-p-rp-mo-br100","Ko Looo","","","10 months ago","Bad service. The guy working in there is rude","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUMwJPQyo49b1uQt_4IicsBNk4lrj36McoIDln0eEITi5nUQVMY=w72-h72-p-rp-mo-br100","Amelia Cossentino","","","6 months ago","took long","Response from the owner","9 months ago","Dear Amelia, thanks for sharing your feedback. We're sorry your experience didn't match your expectations. It was an uncommon instance, and we'll do better. Please feel free reach out to us here with any further comments, concerns, or suggestions you wish to share. We would love to make things right if you give us another chance!"
